# STRING,ENGLISH,SIMPLIFIED CHINESE,TRADITIONAL CHINESE
STR_GRF_NAME,China Set: MTR Addon {VERSION_STRING},中国包：港铁追加包 {VERSION_STRING},中國包：港鐵追加包 {VERSION_STRING}
STR_GRF_DESC,This NewGRF add the vehicles of MTR to China Set.,为中国包追加了港铁的载具,為中國包增加了港鐵的載具。繁體中文缺少本地化人員，如有意向請加入我們discord群組https://discord.com/invte/hmWauemwse
STR_GRF_URL,https://www.tt-forums.net/viewtopic.php?t=91092,,
STR_GRF_DESC_README,This NewGRF is in Early Access.Update in the future may broke the compatable.,仍在测试当中，可能存在不稳定情况。后续更新可能会破坏兼容,
STR_GRF_DESC_MTR,{RED}Caring for every journey,{RED}心系生活每一程,{RED}心系生活每一程
STR_PARAM_LOADING_SPEED,Loading Speed,装载速度,
STR_PARAM_LOADING_SPEED_DESC,Adjust vehicle loading speed. Default is 100%.,调整车辆装载速度。默认为100%。,
STR_PARAM_PURCHASE_COST,Purchase costs,购买费用,
STR_PARAM_PURCHASE_COST_DESC,Adjust vehicle purchase costs. Default is 25%.,调整车辆购买费用。默认为25%。,
STR_PARAM_RUNNING_COST,Running costs,运营费用,
STR_PARAM_RUNNING_COST_DESC,Adjust vehicle running costs. Default is 25%.,调整车辆运营费用。默认为25%。,
STR_PARAM_PERCENT_6,6.25%,,
STR_PARAM_PERCENT_13,12.50%,,
STR_PARAM_PERCENT_25,25%,,
STR_PARAM_PERCENT_50,50%,,
STR_PARAM_PERCENT_75,75%,,
STR_PARAM_PERCENT_100,100%,,
STR_PARAM_PERCENT_125,125%,,
STR_PARAM_PERCENT_150,150%,,
STR_PARAM_PERCENT_175,175%,,
STR_PARAM_PERCENT_200,200%,,
STR_PARAM_PERCENT_400,400%,,
STR_PARAM_PERCENT_800,800%,,
STR_PARAM_PERCENT_1600,1600%,,
STR_PARAM_CARGO_DECAY,Cargo Age Period,货物贬值周期,
STR_PARAM_CARGO_DECAY_DESC,"Adjust cargo age period of coaches and wagons. ""Long"" is ""Standard"" doubled, while ""Very Long"" is ""Long"" doubled. Even in ""Standard"" mode, cargo age period varies.",调整车厢的货物贬值周期。“较长”为“标准”的两倍，“很长”是“较长”的两倍。即使在“标准”设置下，货物贬值周期也随车厢种类而变化。,
STR_PARAM_STANDARD,Standard,标准,
STR_PARAM_LONG,Long,较长,
STR_PARAM_VERY_LONG,Very Long,很长,
STR_PARAM_CARGO_CAPACITY,Capacity,载客量,
STR_PARAM_CARGO_CAPACITY_DESC,"Capacity of Nomal Class(include 2nd-Class, 3rd-Class) Coaches of trains and Buses.",决定普通车厢(包括二等车，三等车)的载客量倍数,
STR_USED_WITH_DYNAMIC_ENGINES,"This GRF needs dynamic_engines to be turned on. Open console, and type ""setting dynamic_engines 1"".","请切换至控制台模式, 键入 ""setting dynamic_engines 1"", 否则您无法游玩中国包.",
# IMPORT,,,
STR_US_IMPORT,Imported from United States,美国进口车型,
STR_FR_IMPORT,Imported from France,法国进口车型,
# DESC,,,
STR_DESC_8,{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING},,
STR_DESC_7,{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING},,
STR_DESC_6,{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING},,
STR_DESC_5,{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING},,
STR_DESC_4,{STRING}{}{STRING}{}{STRING}{}{STRING},,
STR_DESC_3,{STRING}{}{STRING}{}{STRING},,
STR_DESC_2,{STRING}{}{STRING},,
STR_DEBUG_TEST,"This is a debug string, you shouldn't see it. But it happened, why? ",,
# DELDEC,,,
STR_RELDEC_VERY_HIGH,{BLACK}Reliability decay speed: {RED}Very high ({COMMA}),{BLACK}可靠性下降速度：{RED}极高（{COMMA}）,
STR_RELDEC_HIGH,{BLACK}Reliability decay speed: {ORANGE}High ({COMMA}),{BLACK}可靠性下降速度：{ORANGE}较高（{COMMA}）,
STR_RELDEC_MEDIUM,{BLACK}Reliability decay speed: {YELLOW}Medium ({COMMA}),{BLACK}可靠性下降速度：{YELLOW}一般（{COMMA}）,
STR_RELDEC_LOW,{BLACK}Reliability decay speed: {GREEN}Low ({COMMA}),{BLACK}可靠性下降速度：{GREEN}较低（{COMMA}）,
STR_RELDEC_VERY_LOW,{BLACK}Reliability decay speed: {BLUE}Very low ({COMMA}),{BLACK}可靠性下降速度：{BLUE}极低（{COMMA}）,
# SPEED,,,
STR_310_KMH, - Max Speed 310 km/h, - 最高速度 310 km/h,
STR_350_KMH," - Max Speed 350 km/h, Running Costs Increase", - 最高速度 350 km/h，运营费用增加,
STR_350_AVAILABLE,Refittable to Max Speed 350 km/h (Increasing running costs),可改装为最高速度 350 km/h，运营费用增加,
# LIVERY FORMAL,,,
STR_AUTOMATIC, - Automated decide, - 自动,
STR_BUILD_YEAR, - According to build year, - 根据建造年份选择设计,
STR_LATER, - Later Livery, - 后期涂装,
STR_EARLIER, - Earlier Livery, - 早期涂装,
STR_PROTOTYPE, - Prototype, - 原型,
STR_ORIGIN, - Original, - 原版,
STR_FLIP, - Flip, - 翻转,
# CARGO DECAY,,,
STR_COMFORT_VERY_LOW,{BLACK}Comfort: {RED}Very low ({COMMA}),{BLACK}舒适度：{RED}极低（{COMMA}）,
STR_COMFORT_LOW,{BLACK}Comfort: {ORANGE}Low ({COMMA}),{BLACK}舒适度：{ORANGE}较低（{COMMA}）,
STR_COMFORT_MEDIUM,{BLACK}Comfort: {YELLOW}Medium ({COMMA}),{BLACK}舒适度：{YELLOW}一般（{COMMA}）,
STR_COMFORT_HIGH,{BLACK}Comfort: {GREEN}High ({COMMA}),{BLACK}舒适度：{GREEN}较高（{COMMA}）,
STR_COMFORT_VERY_HIGH,{BLACK}Comfort: {BLUE}Very high ({COMMA}),{BLACK}舒适度：{BLUE}很高（{COMMA}）,
STR_COMFORT_EXTREMELY_HIGH,{BLACK}Comfort: {WHITE}Extremely high ({COMMA}),{BLACK}舒适度：{WHITE}极高（{COMMA}）,
STR_FRESHNESS_VERY_LOW,{BLACK}Cargo age period factor: {RED}Very low ({COMMA}),{BLACK}货物贬值周期因子：{RED}极低（{COMMA}）,
STR_FRESHNESS_LOW,{BLACK}Cargo age period factor: {ORANGE}Low ({COMMA}),{BLACK}货物贬值周期因子：{ORANGE}较低（{COMMA}）,
STR_FRESHNESS_MEDIUM,{BLACK}Cargo age period factor: {YELLOW}Medium ({COMMA}),{BLACK}货物贬值周期因子：{YELLOW}一般（{COMMA}）,
STR_FRESHNESS_HIGH,{BLACK}Cargo age period factor: {GREEN}High ({COMMA}),{BLACK}货物贬值周期因子：{GREEN}较高（{COMMA}）,
STR_FRESHNESS_VERY_HIGH,{BLACK}Cargo age period factor: {BLUE}Very high ({COMMA}),{BLACK}货物贬值周期因子：{BLUE}很高（{COMMA}）,
STR_FRESHNESS_EXTREMELY_HIGH,{BLACK}Cargo age period factor: {WHITE}Extremely High ({COMMA}),{BLACK}货物贬值周期因子：{WHITE}极高（{COMMA}）,
STR_DECAY_BOXCAR,"{BLACK}Cargo Age Period Factor: {YELLOW}185{BLACK}, Passengers {RED}80{BLACK}, Livestock {BLUE}560",{BLACK}货物贬值周期因子：{YELLOW}185{BLACK}，装载活禽/畜{BLUE}560,
STR_ELECTRIC_25KVAC,{BLACK}Power Supply: {RED}25kV AC {LTBLUE}(Overhead Lines),供电方式：{RED}25kV交流{LTBLUE}(接触网),
STR_ELECTRIC_1500VDC,{BLACK}Power Supply: {BLUE}1500V DC {LTBLUE}(Overhead Lines),供电方式：{BLUE}1500V直流{LTBLUE}(接触网),
STR_CAFE_EFFECT,"{BLACK}Cafe Effect:  {GOLD}Attaching Restaurant Car Halves Running Costs of Non-Commuter Passenger Cars except Restaurant Cars, and Increases Cargo Age Period by 1/4",{BLACK}餐车的作用：{GOLD}加挂餐车使除餐车外的所有非通勤客车运行费用减半，货物贬值周期增加1/4,
STR_AIR_CONDITIONER_EFFECT,{BLACK}Air Conditioner Effect:  {GOLD}Attaching Air Conditioner Generator Car Increases Cargo Age Period of Most Passenger Cars Hauled by Locomotives without Electricity Supply,{BLACK}空调发电车的作用：{GOLD}加挂空调发电车可增加大部分非机供机车牵引客车的货物贬值周期,
STR_WITH_MAILROOM,{BLACK}This Train has a Luggage Room,{BLACK}这辆车带有一个行李间,
STR_NO_AIR_CONDITIONER,{BLACK}Air Conditioner: {RED}Unavailable,{BLACK}空调：{RED}不可用,
STR_WITH_AIR_CONDITIONER,{BLACK}Air Conditioner: {GOLD}Available,{BLACK}空调：{GOLD}需要带供电的机车供电,
STR_SELF_AIR_CONDITIONER,{BLACK}With Air Conditioner Compartment {RED}ONLY USED BY ITSELF,{BLACK}自带空调发电机{RED}但仅用于本车厢,
STR_ELECTRICITY_SUPPLY,{BLACK}Can provide power to Air Conditioner in wagons,{BLACK}可为客车的空调提供电力,
STR_ATTACH_MTR_FIRST_EMU,"{BLACK}Can be attached by EMUs used in {LTBLUE}Kowloon-Canton Railway British Section/East Rail Line{BLACK} ,{DKGREEN}CAF-Train (Airport Express Type){BLACK} and MTR{ORANGE} VIBRANT EXPRESS",{BLACK}配属于以下动车：{LTBLUE}九广铁路英段/东铁线{BLACK}所有动车，{DKGREEN}CAF-Train(机场快线型){BLACK}，{RED}港铁{ORANGE}“动感号”{BLACK}高速动车组,
STR_ATTACH_MTR_EMU,{BLACK}Can be attached by EMUs used in {RED}MTR {BLACK}or {RED}KCR{BLACK} (Expect {DKGREEN}CAF-Train (Airport Express Type){BLACK}),{BLACK}配属于所有{RED}港铁/九广公司{BLACK}动车({DKGREEN}CAF-Train(机场快线型){BLACK}除外),
STR_ATTACH_MTR_FIRST_EMU_WUTH_MAILROOM,{BLACK}Can be only attached by EMUs used in {YELLOW}KCR Metro Commell Train (Exyrban Type),{BLACK}仅配属于{YELLOW}九广铁路都城嘉慕列车(远郊型),
STR_MTR_FIRST_CAN_ATTACH_WAGON,{BLACK}Can attach First-Class and Normal-Class EMU Coaches,{BLACK}可以挂载头等车厢和普通车厢,
STR_MTR_NORMAL_CAN_ATTACH_WAGON,{BLACK}Can attach Normal-Class EMU Coaches,{BLACK}可以挂载普通车厢,
# LENGTH OF VEHICLE,,,
STR_TOO_SHORT,TOO SHORT!,列车太短了,
STR_ONLY_TWO_SECTIONS,This locomotive must be in a consist of two sections to run.,该机车节数必须为2，否则无法运行,
STR_MUST_BE_4_8_12_16_CARS,"This MU must be in a consist of 4, 8, 12 or 16 cars to run.",该动车组节数必须为4，8，12或16，否则无法运行,
STR_MUST_BE_4_TO_24_CARS,This MU must be in a consist of 4 to 24 cars to run.,该动车组节数必须在4至24之间，否则无法运行,
STR_MUST_BE_4_TO_16_CARS,This MU must be in a consist of 4 to 16 cars to run.,该动车组节数必须在4至16之间，否则无法运行,
STR_MUST_BE_3MULTI_CARS,"This MU must be in a consist of 3, 6, 9 ,12 ,15 or 18 cars to run.",该动车组节数必须为3，6，9，12，15或者18否则无法运行,
# HEADSEAT,,,
STR_FIRST_HEAD_SEAT,{BLACK}Head Seat: First-Class,{BLACK}车头坐席：头等,
STR_NORMAL_HEAD_SEAT,{BLACK}Head Seat: Normal-Class,{BLACK}车头坐席：普通,
# USED LINES,,,
STR_USEDLINE_KCR,Used Line: {RED}Kowloon-Canton Railway HongKong Section,使用的线路：{RED}九广铁路港段,
STR_USEDLINE_KTT,Used Serve: {RED}Hong Kong Intercity Through Train,提供的服务：{RED}广九直通车,
STR_USEDLINE_XRL,Used Line: {RED}Guangzhou-Shenzhen-Hong Kong Express Rail Link,使用的线路：{RED}广深港高铁,
STR_USEDLINE_KCRC,Used Line: {LTBLUE}East Rail Line {BLACK}& {BROWN}Tuen Ma Line {BLACK}(Include {BROWN}Ma On Shan Line {BLACK}and {PURPLE}West Rail Line{BLACK}),使用的线路：{LTBLUE}东铁线{BLACK}和{BROWN}屯马线{BLACK}(包括{BROWN}马鞍山线{BLACK}和{PURPLE}西铁线{BLACK}),
STR_USEDLINE_ERL,Used Line: {LTBLUE}East Rail Line,使用的线路：{LTBLUE}东铁线,
STR_USEDLINE_TML,Used Line: {BROWN}Tuen Ma Line,使用的线路：{BROWN}屯马线,
# VEHICLES,,,
# KTT,,,
STR_NAME_LOK2000,Lok 2000 (Electric),Lok 2000 (电力),
STR_SERIES_KTT,Ktt Coache,九广通客车,
STR_NAME_KTT_COACH,Ktt First-Class Coach (Passage Coach),Ktt 一等座车 (客车),
STR_NAME_KTT_PREMIUM_COACH,Ktt Premium-Class Coach (Passage Coach),Ktt 特等座车 (客车),
STR_FULLNAME_KTT_COACH,Kowloon Canton Railway Through Train,{BLACK}全名：九广通,
# EMUCOACHES,,,
STR_SERIES_MUCOACH,MTR MU Wagon,港铁动车车厢,
STR_NAME_NORMAL_EMUCOACH,The Normal-Class MU Wagon of MTR ,港铁动车普通车厢,
STR_NAME_FIRST_EMUCOACH,The First-Class MU Wagon of MTR ,港铁动车头等车厢,
STR_NAME_FIRST_EMUCOACH_WITH_MAILROOM,The First-Class MU Wagon (With Luggage Room)of MTR ,港铁动车头等车厢(带行李间),
STR_NAME_LUGGAGE_EMUCOACH,The Luggage MU Wagon of MTR ,港铁动车行李车厢,
# YELLOWHEAD,,,
STR_SERIES_YELLOWHEAD,Metro Commell Train (EMU),都城嘉慕列车 (电力动车组),
STR_NAME_YELLOWHEAD_EXURB,KCR Metro Commell Train(Exurban Type) (EMU),九广铁路都城嘉慕列车(远郊型) (电力动车),
STR_NICKNAME_YELLOWHEAD," {YELLOW}Yellowheads, Electric Train",{BLACK}昵称：{YELLOW}黄头， 电气化火车,
STR_NAME_YELLOWHEAD_SUBURB,KCR Metro Commell Train(Suburban Type) (EMU),九广铁路都城嘉慕列车(近郊型) (电力动车),
# MLR,,,
STR_NAME_MLR,MLR Train (EMU),MLR Train (电力动车),
STR_FULLNAME_MLR,{BLACK}Full Name: Mid-Life Refurbishment Train,{BLACK}全名： 中期翻新列车,{BLACK}全名：港鐵中期翻新列車
STR_NICKNAME_MLR,{BLACK}Nickname: Flie's Head,{BLACK}昵称：乌蝇头,{BLACK}昵稱：烏蠅頭
# IKK-TRAIN,,,
STR_NAME_IKK,IKK Train (EMU),IKK Train (电力动车),
STR_FULLNAME_IKK,{BLACK}Full Name: Itochu-Kinki-Kawasaki Train,{BLACK}全名：近畿川崎列车,
STR_NICKNAME_IKK,"{BLACK}Nickname: SP1900/1950, Thousand Nine Hundred",{BLACK}昵称：SP1900/1950，千九,
# TML C-TRAIN,,,
STR_NAME_TML_CTRAIN,TML C-Train (EMU),TML C-Train (电力动车),
STR_FULLNAME_TML_CTRAIN,{BLACK}Full Name: Tuen Ma Line C-Train,{BLACK}全名：港铁屯马线中国制列车,
STR_NICKNAME_TML_CTRAIN,{BLACK}Nickname: Fake Thousand Nine Hundred,{BLACK}昵称：假千九,
# MTR380A,,,
STR_NAME_MTR380A,MTR380A (EMU),MTR380A (电力动车),
STR_FULLNAME_MTR380A,{BLACK}Full Name: MTR {ORANGE}Vibrant Express,{BLACK}全名：港铁{ORANGE}动感号{BLACK}高速电力动车组,
STR_NICKNAME_MTR380A,{BLACK}Nickname: HongKong Mouse,{BLACK}昵称：港鼠,
STR_MTR380A_CONSIST,"{BLACK}Consist: {GOLD}4 to 24 cars; with head and cab trailers, all middle cars motorised. Will run as coupled when cars more than 12",{BLACK}构成：{GOLD}4-24节；头尾拖车，中间全为动力车。大于12节时以重联方式运行,
